seed,expected_depth
2,0
3,0
4,0
5,0
6,0
7,0
8,1
9,0
10,0
11,0
12,0
13,0
3507,0
4226,0
45724,3
168058,0
249675,0
390435,0
470562,0
552017,0
627571,0
720991,0
834660,0
918479,0
979951,0
1075165,6
1153961,0
1276605,0
1395585,0
1460384,7
1587009,0
1691745,0
1811012,0
1915712,3
2014586,1
2069991,6
2199576,0
2290889,0
2404085,0
2540561,0
2613515,0
2735985,2
2817044,0
2879076,0
2972305,6
3087272,9
3188887,0
3289237,0
3447995,0
3566653,0
3723461,0
3830700,3
3948362,0
4072612,5
4216407,4
4314006,0
4403624,9
4415366,57
4492591,0
4584910,0
4668358,0
4752747,0
4859093,0
4958279,0
5048919,0
5136405,2
5229290,9
5346639,0
5471485,0
5555140,0
5649158,0
5780600,0
5870426,0
5971991,0
6066569,2
6145147,0
6228407,0
6277544,0
6325404,0
6431180,1
6542794,0
6623910,0
6714543,0
6829334,0
6944822,0
7044364,23
7135544,0
7236359,0
7351905,14
7440328,0
7547721,0
7647624,0
7771431,0
7894527,0
7982070,1
8102787,0
8208199,0
8285104,1
8362348,0
8464571,0
8557788,0
8648294,0
8718807,0
8806060,0
8897732,1
8999322,7
9118348,0
9218828,0
9300022,0
9408560,5
9505470,0
9600276,1
9689234,0
9797527,0
9920512,1
10000000,1
